"Suburb","Address","Rooms","Type","Price","Method","SellerG","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea"
"Templestowe Lower","37 Eric Av",4,"h",870000,"PI","Barry",13.8,"3107",NA,NA,NA,NA,NA,NA,""
"Doncaster","72 Board St",3,"h",920000,"PI","Ray",13.9,"3108",4,3,3,655,NA,NA,"Manningham"
"Malvern","31a Winter St",3,"h",2300000,"S","Jellis",7.4,"3144",3,2,2,313,NA,1920,"Stonnington"
"Ivanhoe","6/105 Locksley Rd",2,"u",490000,"S","Miles",7.9,"3079",2,1,1,0,NA,1960,"Banyule"
"Kensington","21 Bayswater Rd",2,"h",1005000,"S","Brad",4.2,"3031",2,1,0,274,NA,NA,"Melbourne"
"Essendon","13a Washington St",3,"h",1060000,"PI","Barry",8,"3040",NA,NA,NA,NA,NA,NA,""
"Gowanbrae","2 Mirrim Pl",4,"h",802500,"S","Nelson",13.6,"3043",4,2,2,0,264,2005,"Moreland"
"Brunswick West","5/8 Murray St",2,"u",500000,"S","Brad",5.9,"3055",2,1,1,0,75,1970,"Moreland"
"Maribyrnong","705/60 Edgewater Bvd",2,"u",566000,"S","Raine",8.7,"3032",2,2,1,3014,80,2012,"Maribyrnong"
"Kew","9 Tregarron Av",4,"h",2300000,"PI","Kay",5.6,"3101",NA,NA,NA,NA,NA,NA,""
"Moonee Ponds","2/118 Holmes Rd",2,"u",330000,"SP","Jellis",6.9,"3039",3,1,1,0,54,1970,"Moonee Valley"
"Sunshine","69a Monash St",2,"u",470000,"S","Barry",12.6,"3020",2,1,1,234,NA,NA,"Brimbank"
"Mont Albert","40 Zetland Rd",6,"h",2350000,"PI","Kay",11.8,"3127",6,3,3,2026,NA,NA,"Whitehorse"
"Armadale","42 Rose St",3,"h",2250000,"S","Marshall",6.3,"3143",3,3,1,301,NA,NA,"Stonnington"
"Reservoir","3/3 Erskine Av",1,"u",310000,"S","Barry",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Carnegie","1/177 Oakleigh Rd",2,"u",586000,"S","hockingstuart",11.4,"3163",2,1,1,898,NA,1970,"Glen Eira"
"Bulleen","8 Vera St",3,"h",1050000,"PI","Fletchers",11.8,"3105",3,2,1,728,719,1965,"Manningham"
"Newport","37 Alma Tce",3,"h",995000,"SP","Greg",8.4,"3015",3,1,2,316,118,1960,"Hobsons Bay"
"Melbourne","928/43 Therry St",1,"u",210000,"VB","Greg",2.8,"3000",1,1,0,0,NA,NA,"Melbourne"
"Moonee Ponds","14 Scotia St",4,"h",1225000,"SP","Nelson",6.9,"3039",4,1,1,388,120,1920,"Moonee Valley"
"Hampton","65 Linacre Rd",5,"h",3470000,"SP","Marshall",13.7,"3188",5,3,4,670,413,2008,"Bayside"
"Clifton Hill","7/29 Dwyer St",1,"u",340000,"PI","Woodards",3.4,"3068",NA,NA,NA,NA,NA,NA,""
"Brighton","5/22 Well St",2,"u",737000,"S","Nick",11.2,"3186",3,1,1,106,NA,1975,"Bayside"
"Brunswick East","3/164 Nicholson St",3,"h",940000,"SP","Nelson",4.5,"3057",NA,NA,NA,NA,NA,NA,""
"Gardenvale","6/37 Lantana Rd",1,"u",280000,"PI","McGrath",9.8,"3185",NA,NA,NA,NA,NA,NA,""
"Coburg","9 Beckley St",3,"h",1370000,"S","Nelson",7.8,"3058",3,1,1,563,130,1930,"Moreland"
"Yarraville","2/5 Jepson St",2,"u",640000,"PI","hockingstuart",7,"3013",NA,NA,NA,NA,NA,NA,""
"Kew","4 Orford Av",5,"h",3820000,"S","Marshall",5.6,"3101",NA,NA,NA,NA,NA,NA,""
"Yarraville","29 Newcastle St",2,"h",890000,"S","hockingstuart",7,"3013",2,1,0,166,NA,1920,"Maribyrnong"
"Richmond","21a Laity St",1,"h",815000,"PI","Dixon",2.6,"3121",NA,NA,NA,NA,NA,NA,""
"West Footscray","12/32 Argyle St",2,"h",438000,"S","hockingstuart",8.2,"3012",2,1,2,0,75,1970,"Maribyrnong"
"Chadstone","2/14 Cole Cr",3,"t",999000,"S","Ray",13.6,"3148",NA,NA,NA,NA,NA,NA,""
"Ascot Vale","33 Dalgety Dr",3,"h",960000,"S","Walshe",5.9,"3032",3,2,2,229,NA,2011,"Moonee Valley"
"Kew","23 Gellibrand St",4,"h",2117000,"S","Fletchers",5.6,"3101",4,1,2,520,NA,NA,"Boroondara"
"Richmond","8 Hodgson Tce",3,"h",1205000,"S","Biggin",2.6,"3121",3,1,0,164,NA,NA,"Yarra"
"Balwyn","166 Gordon St",2,"h",2100000,"S","Marshall",9.7,"3103",2,1,1,659,123,1920,"Boroondara"
"Port Melbourne","3/39 Esplanade Pl",3,"u",1082000,"S","hockingstuart",3.8,"3207",NA,NA,NA,NA,NA,NA,""
"Bentleigh East","31b Purtell St",4,"t",1465000,"S","Buxton",13.9,"3165",3,2,2,319,256,2015,"Glen Eira"
"Armadale","8/58 Sutherland Rd",2,"u",592500,"S","hockingstuart",6.3,"3143",2,1,1,0,73,1970,"Stonnington"
"Avondale Heights","33 Wood St",3,"h",845000,"S","Nelson",10.5,"3034",3,1,3,704,NA,NA,"Moonee Valley"
"Oak Park","8a Pines Gr",2,"h",480000,"S","Brad",11.5,"3046",2,1,2,0,NA,NA,"Moreland"
"Glen Huntly","2/6 Culma St",2,"u",812000,"S","Woodards",10.4,"3163",2,1,1,0,NA,1995,"Glen Eira"
"Bulleen","42 Gisborne St",4,"h",1140000,"S","hockingstuart",11.8,"3105",4,2,3,554,NA,NA,"Manningham"
"Ashburton","3/4 Annetta Av",3,"h",1430000,"S","Jellis",11,"3147",NA,NA,NA,NA,NA,NA,""
"Box Hill","2/20 Simpsons Rd",2,"u",761000,"S","Marshall",13.1,"3128",2,2,1,176,NA,2000,"Whitehorse"
"Ashwood","2/25 May Park Av",2,"u",675000,"S","Buxton",12.2,"3147",NA,NA,NA,NA,NA,NA,""
"Burwood","5 Keogh St",3,"h",1070500,"SP","Buxton",11.7,"3125",3,1,2,776,NA,NA,"Monash"
"Williamstown","98 Osborne St",3,"h",1460000,"S","Greg",8,"3016",3,1,2,373,107,1970,"Hobsons Bay"
"South Yarra","16/124 Caroline St",1,"u",450000,"PI","hockingstuart",3.3,"3141",1,1,0,0,NA,NA,"Stonnington"
"Richmond","6/11 River St",2,"u",915000,"S","Biggin",2.6,"3121",NA,NA,NA,NA,NA,NA,""
"Sunshine North","97 Cumberland St",3,"h",600000,"S","Douglas",13.3,"3020",3,1,3,634,NA,NA,"Brimbank"
"St Kilda","203/43 Duke St",1,"u",400000,"VB","Whiting",6.1,"3182",1,1,1,0,52,2012,"Port Phillip"
"Box Hill","10 Cunningham St",4,"h",1430000,"S","Noel",13.1,"3128",4,2,0,585,NA,NA,"Whitehorse"
"West Footscray","9/24 Dongola Rd",3,"h",900000,"S","Jas",8.2,"3012",3,2,3,446,NA,2006,"Maribyrnong"
"North Melbourne","2/43 Haines St",2,"u",470000,"VB","W.B.",2.3,"3051",2,1,1,0,NA,NA,"Melbourne"
"Oakleigh","126 Burlington St",2,"h",600000,"S","Woodards",14,"3166",NA,NA,NA,NA,NA,NA,""
"Reservoir","3/66 Darebin Bvd",2,"u",401000,"S","Darren",11.2,"3073",2,1,1,184,77,1965,"Darebin"
"Port Melbourne","7/174 Esplanade Pl",2,"u",730000,"SP","RT",3.8,"3207",NA,NA,NA,NA,NA,NA,""
"Doncaster","9 Gilmore Rd",3,"h",1275000,"PI","Barry",13.9,"3108",3,1,1,720,NA,1960,"Manningham"
"Hawthorn East","40 Campbell Gr",3,"h",1420000,"PI","Marshall",7.5,"3123",3,1,2,362,130,1910,"Boroondara"
"North Melbourne","3 Wilson Mw",2,"h",690000,"S","Rendina",2.3,"3051",NA,NA,NA,NA,NA,NA,""
"Ascot Vale","7 Dalgety Dr",3,"h",995000,"S","Nelson",5.9,"3032",3,2,1,314,177,2010,"Moonee Valley"
"Strathmore Heights","12 Boeing Rd",4,"h",931999,"S","Nelson",12.5,"3041",4,3,2,528,192,1966,"Moonee Valley"
"Brunswick East","94 Barkly St",4,"h",1815000,"S","Nelson",4.5,"3057",4,1,1,233,204,1890,"Moreland"
"Malvern","1/58 Cawkwell St",2,"u",584000,"S","Gary",7.4,"3144",2,1,1,0,74,1971,"Stonnington"
"Oakleigh","105 Atkinson St",3,"h",1225000,"S","Ray",14,"3166",3,1,2,553,NA,NA,"Monash"
"Brunswick","17 Sutherland St",2,"h",1015000,"S","Nelson",5.2,"3056",2,1,0,453,86,1920,"Moreland"
"Bentleigh East","2/12 Blenheim St",2,"u",495000,"SP","Woodards",13.9,"3165",2,1,1,96,NA,NA,"Glen Eira"
"West Footscray","3/589 Barkly St",1,"u",300000,"S","Sweeney",8.2,"3012",NA,NA,NA,NA,NA,NA,""
"Brighton East","1/2 Robinson St",3,"t",1300000,"PI","Buxton",10.7,"3187",3,2,2,337,222,2000,"Bayside"
"Sunshine","7 Barnett St",3,"h",675000,"S","Bells",12.6,"3020",3,1,1,500,NA,NA,"Brimbank"
"Ivanhoe","114 Bond St",3,"h",1075000,"S","Barry",7.9,"3079",3,1,2,677,NA,1950,"Banyule"
"Glen Iris","4/35 Carroll Cr",1,"u",350000,"VB","hockingstuart",9.2,"3146",NA,NA,NA,NA,NA,NA,""
"Abbotsford","166 Gipps St",3,"h",1290000,"S","Biggin",2.5,"3067",3,2,2,147,18,NA,"Yarra"
"Essendon","15 Wright St",3,"h",1045000,"S","Nelson",8,"3040",3,1,1,429,NA,NA,"Moonee Valley"
"Altona","27 McIntyre Dr",3,"h",840000,"SP","Greg",13.8,"3018",3,2,2,534,136,1965,"Hobsons Bay"
"Murrumbeena","32 Leura St",2,"h",861500,"S","hockingstuart",12.1,"3163",2,2,1,293,125,2004,"Glen Eira"
"Avondale Heights","7 Monmouth St",3,"h",650000,"SP","Moonee",10.5,"3034",3,1,3,574,NA,NA,"Moonee Valley"
"Port Melbourne","212/50 Dow St",2,"u",725000,"VB","Cayzer",3.8,"3207",2,2,2,0,87,2010,"Port Phillip"
"Glenroy","23 Tarana Av",3,"h",625000,"S","Barry",13,"3046",NA,NA,NA,NA,NA,NA,""
"Camberwell","603 Burke Rd",5,"h",2000000,"VB","Marshall",7.8,"3124",5,3,2,801,NA,1920,"Boroondara"
"Essendon","6/4 Ballater St",2,"u",521000,"S","Nelson",8,"3040",2,1,1,0,NA,1970,"Moonee Valley"
"Strathmore Heights","353a Mascoma St",3,"u",750000,"VB","Paul",12.5,"3041",NA,NA,NA,NA,NA,NA,""
"Yarraville","71 Bena St",2,"h",760000,"S","Jas",7,"3013",3,1,1,472,NA,NA,"Maribyrnong"
"Ashburton","14 Lucerne St",3,"h",1415000,"S","Buxton",11,"3147",3,1,1,605,111,1950,"Boroondara"
"South Yarra","17/393 Toorak Rd",1,"u",400000,"S","LITTLE",3.3,"3141",1,1,1,1424,NA,NA,"Stonnington"
"Brighton East","1 Sunnyside Av",5,"h",1952000,"S","Gary",10.7,"3187",NA,NA,NA,NA,NA,NA,""
"Brighton","4/95 Wilson St",2,"u",760000,"PI","Hodges",11.2,"3186",2,1,2,0,NA,NA,"Bayside"
"Brunswick","54 Davies St",2,"h",1075000,"PI","Jellis",5.2,"3056",2,1,0,311,108,1930,"Moreland"
"Malvern East","1c Wilmot St",2,"t",650000,"S","Jellis",11.2,"3145",2,2,1,0,120,2015,"Stonnington"
"Reservoir","2/70 Orrong Av",3,"h",480000,"S","hockingstuart",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Alphington","2c Hamilton St",3,"h",865000,"SP","hockingstuart",6.4,"3078",3,1,1,180,131,2010,"Darebin"
"Richmond","20 Lincoln St",4,"h",1212500,"S","Kay",2.6,"3121",4,3,2,108,108,2010,"Yarra"
"Aberfeldie","29 Beaver St",5,"h",1740000,"S","Nelson",9.1,"3040",3,3,2,839,247,1925,"Moonee Valley"
"Reservoir","24 Ludeman Ct",4,"h",730000,"PI","Barry",11.2,"3073",4,1,2,770,152,1970,"Darebin"
"Doncaster","8 Winters Wy",3,"h",1170500,"S","Barry",13.9,"3108",NA,NA,NA,NA,NA,NA,""
"Coburg","38 Soudan St",3,"h",835000,"S","hockingstuart",7.8,"3058",3,1,1,459,NA,NA,"Moreland"
"Brunswick","2/123 Brunswick Rd",3,"t",640000,"PI","Walshe",5.2,"3056",3,2,1,110,118,2000,"Moreland"
"Essendon","5/120 Roberts St",2,"t",720000,"VB","Brad",8,"3040",NA,NA,NA,NA,NA,NA,""
"Essendon","3/113 Tennyson St",2,"t",595000,"S","Frank",8,"3040",2,1,2,752,89,1990,"Moonee Valley"
"Port Melbourne","86 Raglan St",3,"h",1100000,"S","Marshall",3.8,"3207",3,1,0,103,NA,NA,"Port Phillip"
"Toorak","18/703 Orrong Rd",2,"u",1100000,"VB","David",4.6,"3142",3,2,2,0,NA,NA,"Stonnington"
"South Melbourne","157 Napier St",3,"h",1600000,"SP","Marshall",2.1,"3205",3,2,1,88,93,1890,"Port Phillip"
"Hadfield","2/3 Surrey St",2,"u",487000,"SP","Peter",12.1,"3046",2,1,2,198,96,2010,"Moreland"
"Hughesdale","6/2 Paddington Rd",2,"u",375500,"S","Gary",13,"3166",2,1,1,0,NA,1970,"Monash"
"Altona","2/60 David St",2,"h",535600,"SP","Compton",13.8,"3018",2,1,1,154,91,1996,"Hobsons Bay"
"Box Hill","6/29 Barkly St",2,"u",645000,"S","McGrath",13.1,"3128",2,1,1,140,81,1965,"Whitehorse"
"Malvern","19 Gordon Gr",3,"h",1950000,"S","Jellis",7.4,"3144",2,1,1,325,NA,NA,"Stonnington"
"Bulleen","92 Swanston St",4,"h",1110000,"PI","Barry",11.8,"3105",3,2,2,562,NA,NA,"Manningham"
"Ashburton","29A Yuile St",5,"h",3510000,"S","Jellis",11,"3147",5,5,2,755,444,2015,"Boroondara"
"Reservoir","40 Hughes Pde",4,"h",770000,"S","Love",11.2,"3073",4,1,2,855,NA,NA,"Darebin"
"Essendon West","14 Clydebank Rd",3,"h",810000,"PI","Nelson",9.8,"3040",3,1,2,613,NA,NA,"Moonee Valley"
"Bentleigh East","77b Stockdale Av",4,"t",1150000,"PI","Buxton",13.9,"3165",NA,NA,NA,NA,NA,NA,""
"Ashwood","44 Power Av",3,"h",900000,"VB","Tim",12.2,"3147",NA,NA,NA,NA,NA,NA,""
"Surrey Hills","7 Newton St",5,"h",2100000,"PI","Ray",11.2,"3127",5,2,2,1025,277,1915,"Whitehorse"
"Chadstone","30 Melinga Cr",3,"h",1101000,"S","Buxton",13.6,"3148",NA,NA,NA,NA,NA,NA,""
"Heidelberg West","59 Alamein Rd",3,"h",532000,"S","Miles",9.4,"3081",3,1,1,390,86,1955,"Banyule"
"St Kilda","4/25 Jackson St",2,"u",400000,"PI","Biggin",6.1,"3182",2,1,1,0,65,1970,"Port Phillip"
"Kew","10 Vaughan Cr",3,"h",1200000,"SP","Marshall",5.6,"3101",NA,NA,NA,NA,NA,NA,""
"Elwood","301/35 Ormond Rd",2,"u",1050000,"VB","Chisholm",7.7,"3184",2,2,2,2381,NA,2009,"Port Phillip"
"Heidelberg Heights","16a Shelley St",2,"u",570000,"S","Darren",10.5,"3081",NA,NA,NA,NA,NA,NA,""
"South Yarra","308/700 Chapel St",1,"u",480000,"S","hockingstuart",3.3,"3141",1,1,1,0,NA,2000,"Stonnington"
"Ivanhoe East","41 McArthur Rd",4,"h",1740000,"S","Miles",9,"3079",4,3,3,948,249,1960,"Banyule"
"Rosanna","2 Millicent St",4,"h",1050000,"VB","Nelson",11.4,"3084",NA,NA,NA,NA,NA,NA,""
"Northcote","83 Gladstone Av",3,"h",1215000,"S","McGrath",5.5,"3070",NA,NA,NA,NA,NA,NA,""
"Glenroy","1/112 Cardinal Rd",4,"t",608000,"S","Raine",13,"3046",3,2,1,252,150,2014,"Moreland"
"Malvern East","3/9 Tollington Av",2,"u",977000,"S","Marshall",11.2,"3145",NA,NA,NA,NA,NA,NA,""
"Maribyrnong","19 Warrs Rd",3,"h",1105000,"S","Nelson",8.7,"3032",3,1,4,762,142,1950,"Maribyrnong"
"Richmond","149 Mary St",3,"h",1100000,"S","Abercromby's",2.6,"3121",3,1,0,162,81,1915,"Yarra"
"South Yarra","16/384 Toorak Rd",2,"u",550000,"S","hockingstuart",3.3,"3141",2,1,1,0,NA,NA,"Stonnington"
"Abbotsford","52a William St",2,"h",1100000,"PI","Biggin",2.5,"3067",2,2,1,124,135,2013,"Yarra"
"North Melbourne","8/201 Abbotsford St",2,"t",1300000,"VB","Nelson",2.3,"3051",2,2,1,0,NA,NA,"Melbourne"
"South Yarra","1/47 Wilson St",2,"u",840000,"PI","Jellis",3.3,"3141",2,2,1,0,NA,2004,"Stonnington"
"Balwyn North","9 Sunburst Av",6,"h",1860000,"S","Fletchers",9.2,"3104",NA,NA,NA,NA,NA,NA,""
"Essendon North","4/17 Bulla Rd",1,"u",260000,"S","Brad",9.4,"3041",1,1,1,0,NA,NA,"Moonee Valley"
"Reservoir","2 Kennedy St",3,"h",650000,"VB","Nelson",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Sunshine","1 Boreham St",3,"h",610000,"S","Barry",12.6,"3020",3,1,0,705,118,1965,"Brimbank"
"Altona North","126 Sixth Av",3,"h",800000,"SP","RT",11.1,"3025",NA,NA,NA,NA,NA,NA,""
"Coburg","1/58 Moore St",2,"t",807000,"S","Nelson",7.8,"3058",2,2,1,0,176,2010,"Moreland"
"Rosanna","9 Kathleen St",3,"h",850000,"S","Miles",11.4,"3084",NA,NA,NA,NA,NA,NA,""
"Doncaster","19 Hanke Rd",3,"h",1450000,"PI","Barry",13.9,"3108",3,1,1,638,115,1970,"Manningham"
"Reservoir","106 Winter Cr",2,"t",475000,"S","Ray",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Strathmore","2/13 Fenacre St",3,"h",622500,"S","Barry",9.7,"3041",3,2,2,254,127,2004,"Moonee Valley"
"Carnegie","1/108 Truganini Rd",3,"t",970000,"PI","Marshall",11.4,"3163",3,2,2,325,223,2005,"Glen Eira"
"Box Hill","1/14 Alexander St",2,"u",420000,"VB","Jellis",13.1,"3128",2,1,1,0,NA,1970,"Whitehorse"
"Maidstone","47 Radio St",4,"h",690000,"PI","Sweeney",9.2,"3012",3,2,1,270,NA,NA,"Maribyrnong"
"Hampton","42 Myrtle Rd",5,"h",1805000,"S","Buxton",13.7,"3188",4,2,2,700,224,1950,"Bayside"
"Glenroy","57 Maude Av",3,"h",410000,"PI","Melbourne",13,"3046",NA,NA,NA,NA,NA,NA,""
"Sunshine North","16 Ball St",3,"h",725000,"S","GL",13.3,"3020",3,1,1,668,NA,NA,"Brimbank"
"Altona North","2/36 May St",3,"h",675000,"S","hockingstuart",11.1,"3025",3,2,2,171,109,2012,"Hobsons Bay"
"Hawthorn","1 College St",3,"h",1560000,"PI","Jellis",4.6,"3122",3,2,0,198,148,1910,"Boroondara"
"Bentleigh East","88 MacKie Rd",4,"h",1370000,"SP","Gary",13.9,"3165",4,1,2,684,196,1970,"Glen Eira"
"Watsonia","1/18 Leafield St",3,"u",537000,"S","Barry",14.9,"3087",3,1,2,327,95,1960,"Banyule"
"Bentleigh East","24 Pasadena Cr",4,"h",1270000,"PI","hockingstuart",13.9,"3165",NA,NA,NA,NA,NA,NA,""
"Kew","8 Merrion Pl",3,"h",1878000,"SP","Jellis",5.6,"3101",3,2,1,392,426,2015,"Boroondara"
"Sunshine","166a Morris St",2,"u",550000,"SP","Jas",12.6,"3020",2,1,1,0,NA,NA,"Brimbank"
"Ivanhoe East","3/36 Wilfred Rd",3,"u",1260000,"S","Miles",9,"3079",3,2,2,356,NA,1998,"Banyule"
"Toorak","4/8 Bruce St",2,"u",925000,"S","RT",4.6,"3142",2,2,2,0,109,1970,"Stonnington"
"Prahran","37 Perth St",4,"h",1820000,"S","Jellis",4.5,"3181",4,1,1,305,NA,1920,"Stonnington"
"Kensington","5 Rigby La",3,"t",845000,"S","Nelson",4.2,"3031",3,2,1,132,105,NA,"Moonee Valley"
"Collingwood","8/122 Sackville St",2,"u",450000,"S","Biggin",1.6,"3066",2,1,1,0,NA,1970,"Yarra"
"Prahran","19 Packington Pl",2,"h",1055000,"S","Biggin",4.5,"3181",2,1,0,203,85,1900,"Stonnington"
"Moonee Ponds","35 Addison St",4,"h",1637000,"S","Nelson",6.9,"3039",4,1,3,539,190,1900,"Moonee Valley"
"Thornbury","8/89 Ballantyne St",1,"u",245000,"VB","Love",6.5,"3071",1,1,1,0,NA,NA,"Darebin"
"Reservoir","16 Kinsale St",3,"h",665000,"S","Nelson",11.2,"3073",3,1,4,503,NA,NA,"Darebin"
"Hawthorn East","18 Carlyle St",4,"h",3050000,"S","Kay",7.5,"3123",4,3,1,710,NA,NA,"Boroondara"
"Kew","42 Ridgeway Av",3,"h",1505000,"S","O'Donoghues",5.6,"3101",NA,NA,NA,NA,NA,NA,""
"Altona","158 Queen St",3,"h",520000,"VB","Greg",13.8,"3018",3,2,1,352,242,2015,"Hobsons Bay"
"Glenroy","72 Pecham St",3,"h",670000,"S","Barry",13,"3046",3,1,3,705,135,1950,"Moreland"
"Maribyrnong","3 Village Wy",4,"h",979888,"S","Nelson",8.7,"3032",NA,NA,NA,NA,NA,NA,""
"Thornbury","6 Martin St",2,"h",972000,"S","Jellis",6.5,"3071",2,1,0,229,NA,NA,"Darebin"
"Preston","672 Plenty Rd",5,"h",630000,"PI","hockingstuart",8.8,"3072",5,5,3,199,5,NA,"Darebin"
"Northcote","33 Oxford St",4,"h",1830000,"S","McGrath",5.5,"3070",3,1,1,654,NA,NA,"Darebin"
"Niddrie","33 Newman St",3,"h",875000,"SP","Nelson",11.2,"3042",3,1,0,656,NA,1950,"Moonee Valley"
"Bentleigh East","9/7 Derry St",2,"u",380000,"PI","Buxton",13.9,"3165",3,2,1,0,78,1970,"Glen Eira"
"Ashwood","4/24 Mulgrave St",2,"u",535000,"S","Woodards",12.2,"3147",2,1,1,72,NA,NA,"Monash"
"Malvern","8/236 Wattletree Rd",1,"u",405000,"S","Marshall",7.4,"3144",1,1,1,0,NA,NA,"Stonnington"
"Williamstown","2/20 Victoria St",3,"u",890000,"S","Gunn&Co",8,"3016",3,1,3,0,111,1980,"Hobsons Bay"
"Ascot Vale","7 Angler Pde",4,"h",1640000,"S","Raine",5.9,"3032",4,3,2,562,204,1890,"Moonee Valley"
"Elwood","11/16 Byron St",1,"u",326000,"VB","hockingstuart",7.7,"3184",1,1,1,0,NA,NA,"Port Phillip"
"Kew","21 Gordon Av",2,"h",1210000,"S","Nelson",5.6,"3101",NA,NA,NA,NA,NA,NA,""
"Footscray","5/28 Eleanor St",2,"t",480000,"PI","Jas",6.4,"3011",2,1,1,556,75,2010,"Maribyrnong"
"St Kilda","4/48 Dalgety St",1,"u",405000,"S","Biggin",6.1,"3182",NA,NA,NA,NA,NA,NA,""
"Ashwood","2/53 Salisbury Rd",3,"t",830000,"S","Barry",12.2,"3147",2,1,2,212,130,2012,"Monash"
"Carlton","704/668 Swanston St",2,"u",795000,"S","Nelson",1.8,"3053",2,2,1,0,NA,NA,"Melbourne"
"Ormond","1/75 Lillimur Rd",2,"u",475000,"S","Gary",11.8,"3204",2,1,1,0,52,2011,"Glen Eira"
"Clifton Hill","7/37 Groom St",2,"u",885500,"S","Collins",3.4,"3068",2,2,2,0,136,2005,"Yarra"
"Brighton East","2/21 Hodder St",4,"t",1367000,"S","McGrath",10.7,"3187",4,2,2,315,4,2000,"Bayside"
"Hadfield","2/32 David St",4,"u",581000,"S","Barry",12.1,"3046",NA,NA,NA,NA,NA,NA,""
"Carlton","24 Pitt St",2,"h",957000,"S","Woodards",1.8,"3053",2,1,1,122,NA,NA,"Melbourne"
"East Melbourne","496 Victoria Pde",4,"h",1475000,"S","Frank",1.5,"3002",2,1,1,179,NA,NA,"Melbourne"
"Keilor East","86 Prospect Dr",3,"h",690000,"S","Harcourts",12.8,"3033",3,2,2,568,148,1970,"Moonee Valley"
"Viewbank","82 Casey Cr",6,"h",1210000,"S","Miles",13.8,"3084",NA,NA,NA,NA,NA,NA,""
"Surrey Hills","2/30 Langford St",3,"t",1520000,"S","Harcourts",11.2,"3127",NA,NA,NA,NA,NA,NA,""
"Brighton","5 Bridge St",3,"h",1650000,"S","Hodges",11.2,"3186",3,2,1,354,143,1910,"Bayside"
"Pascoe Vale","2/36 Alpine Gr",3,"t",600000,"VB","hockingstuart",9.9,"3044",3,2,1,122,139,1998,"Moreland"
"Burwood","29 Meldan St",2,"h",1350000,"S","Fletchers",11.7,"3125",2,1,2,593,82,1950,"Whitehorse"
"Brighton East","2/33 Cluden St",2,"u",903000,"S","Hodges",10.7,"3187",2,1,1,171,101,1970,"Bayside"
"Carnegie","48 Lyons St",4,"h",1450000,"PI","Ray",11.4,"3163",4,2,2,557,200,1938,"Glen Eira"
"Reservoir","19 Liston Av",3,"h",600000,"PI","Barry",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Albion","10/117 Anderson Rd",1,"u",185000,"S","hockingstuart",13.9,"3020",1,1,1,2347,43,1975,"Brimbank"
"Fawkner","1 James St",3,"h",650000,"SP","Brad",12.4,"3060",3,1,1,725,NA,NA,"Moreland"
"Newport","3 River St",3,"h",1210000,"SP","Williams",8.4,"3015",3,1,1,546,144,1920,"Hobsons Bay"
"Strathmore","9/2 North Av",2,"u",410000,"S","Nelson",9.7,"3041",NA,NA,NA,NA,NA,NA,""
"Coburg","144 The Avenue",4,"h",1250000,"VB","Nelson",7.8,"3058",4,3,1,515,249,1900,"Moreland"
"Balwyn North","12 Clifton St",4,"h",1720000,"PI","Marshall",9.2,"3104",4,3,2,869,170,1950,"Boroondara"
"Hawthorn East","22 Miami St",3,"h",1650000,"VB","RT",7.5,"3123",3,2,2,302,NA,NA,"Boroondara"
"Fairfield","15/262 Heidelberg Rd",2,"u",548000,"SP","Nelson",5.8,"3078",2,1,1,0,68,2014,"Yarra"
"Sunshine West","4 Clematis Pl",5,"h",621000,"SP","Barry",13.5,"3020",5,2,2,596,176,1997,"Brimbank"
"Bentleigh East","33 Molden St",3,"h",1400000,"PI","hockingstuart",13.9,"3165",3,2,2,653,NA,NA,"Glen Eira"
"Preston","2 Hope St",3,"h",1080000,"PI","Barry",8.8,"3072",3,2,1,369,NA,NA,"Darebin"
"Doncaster","6 Santiago St",5,"h",1510000,"PI","Barry",13.9,"3108",4,2,2,659,NA,NA,"Manningham"
"Ormond","2/3 Coane St",3,"u",973000,"SP","Marshall",11.8,"3204",3,2,2,379,NA,NA,"Glen Eira"
"Melbourne","507/325 Collins St",2,"u",733000,"S","MICM",2.8,"3000",2,2,1,0,94,1965,"Melbourne"
"South Melbourne","7 Emerald Wy",3,"h",1350000,"VB","Cayzer",2.1,"3205",NA,NA,NA,NA,NA,NA,""
"Moonee Ponds","1/31 Holberg St",3,"h",832000,"S","Jellis",6.9,"3039",3,2,2,214,111,1997,"Moonee Valley"
"Altona North","3/49 Misten Av",3,"h",537500,"SP","hockingstuart",11.1,"3025",NA,NA,NA,NA,NA,NA,""
"Carnegie","26 Leila Rd",3,"h",1716000,"S","Woodards",11.4,"3163",2,2,1,817,130,1925,"Glen Eira"
"Hampton","10 Talbot St",4,"h",2800000,"VB","RT",13.7,"3188",4,3,2,1093,NA,NA,"Bayside"
"Footscray","1a Leander St",2,"h",716000,"S","Ray",6.4,"3011",2,1,2,274,275,2000,"Maribyrnong"
"Collingwood","15/78 Oxford St",1,"u",461000,"SP","Jellis",1.6,"3066",1,1,1,0,NA,NA,"Yarra"
"Keilor East","23 Prospect Dr",3,"h",600000,"S","Bells",12.8,"3033",3,1,1,565,125,1970,"Moonee Valley"
